"","Interval","TileID","TotalSittingCapacity","TotalStandingCapacity","TotalCapacity"
"393",1970-01-01 02:00:00,"88a8a061b3fffff",60,103,163
"394",1970-01-01 02:00:00,"88a8a061b5fffff",60,103,163
"395",1970-01-01 02:00:00,"88a8a061b7fffff",60,103,163
"396",1970-01-01 02:00:00,"88a8a06283fffff",60,103,163
"397",1970-01-01 02:00:00,"88a8a06287fffff",60,103,163
"398",1970-01-01 02:00:00,"88a8a06289fffff",60,103,163
"399",1970-01-01 02:00:00,"88a8a06293fffff",0,0,0
"400",1970-01-01 02:00:00,"88a8a0629bfffff",0,0,0
"401",1970-01-01 02:00:00,"88a8a062b5fffff",60,103,163
"402",1970-01-01 02:00:00,"88a8a062bdfffff",60,103,163
"403",1970-01-01 02:00:00,"88a8a062c3fffff",60,103,163
"404",1970-01-01 02:00:00,"88a8a062cbfffff",60,103,163
"405",1970-01-01 02:00:00,"88a8a062d3fffff",0,0,0
"406",1970-01-01 02:00:00,"88a8a062d9fffff",0,0,0
"407",1970-01-01 02:00:00,"88a8a06705fffff",0,0,0
"408",1970-01-01 02:00:00,"88a8a06707fffff",0,0,0
"409",1970-01-01 02:00:00,"88a8a0670dfffff",0,0,0
